OFFICE TYPE	SITE NAME	ADDRESS	SUBURB	STATE	POSTCODE	LATITUDE	LONGITUDE	Geo Coordinate
Centrelink Customer Service Centre	Yarra	617-619 Victoria Street	Abbotsford	VIC	3067	-37.81087	145.00854	-37.81087;145.00854
Centrelink Customer Service Centre (Small)	Bridgewater	28 Green point Road	Bridgewater	TAS	7030	-42.7388	147.2458	-42.7388;147.2458
Centrelink Customer Service Centre (Small)	Cherbourg	13 Fisher Street	Cherbourg	QLD	4605	-26.292	151.9558	-26.292;151.9558
Centrelink Customer Service Centre (Small)	Yeppoon	20 Arthur Street	Yeppoon	QLD	4703	-23.13044	150.74224	-23.13044;150.74224
Centrelink Customer Service Centre (Small)	Young	130 Lovell Street	Young	NSW	2594	-34.31094	148.29214	-34.31094;148.29214
Centrelink Customer Service Centre (Small)	Yass	204 Comur Street	Yass	NSW	2582	-34.84418	148.91333	-34.84418;148.91333
Centrelink Customer Service Centre	Camberwell	527 Riversdale Road	Camberwell	VIC	3124	-37.83132	145.05795	-37.83132;145.05795
Centrelink Customer Service Centre	Northern Beaches	660-664 Pittwater Road	Brookvale	NSW	2100	-33.76771	151.26733	-33.76771;151.26733
Remote Service Centre	Groote Eylandt	Lot 373 Rowell Highway	Angurugu	NT	822	-13.9822	136.4606	-13.9822;136.4606
Remote Service Centre	Borroloola	337 Robinson Road	Borroloola	NT	854	-16.05336	136.30588	-16.05336;136.30588
Remote Service Centre	Fitzroy Crossing	"Unit 6, Tarunda Shopping Centre, 21 Forrest Road"	Fitzroy Crossing	WA	6765	-18.19438	125.56748	-18.19438;125.56748
Remote Service Centre	Galiwinku	"Lot 263, Rarrapul Street"	Galiwinku	NT	822	-12.02306	135.56777	-12.02306;135.56777
Remote Service Centre	Hermannsburg	"Lot 58, Hermannsburg Community"	Hermannsburg	NT	872	-23.9427	132.7787	-23.9427;132.7787
Remote Service Centre	Halls Creek	Lot 102 Roberta Avenue	Halls Creek	WA	6770	-18.22612	127.66719	-18.22612;127.66719
Remote Service Centre	Laverton	Lot 498 Laver Place	Laverton	WA	6440	-28.62529	122.40516	-28.62529;122.40516
Remote Service Centre	Meekatharra	69 Main Street	Meekatharra	WA	6642	-26.59176	118.49656	-26.59176;118.49656
